Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote,,Exchange
EIP,Eaton Vance Pennsylvania Municipal Bond Fund,12.38,36641816.42,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/eip,,AMEX
EVP,Eaton Vance Pennsylvania Municipal Income Trust,12.1124,32950742.53,n/a,1999,n/a,n/a,http://www.nasdaq.com/symbol/evp,,AMEX
ELMD,"Electromed, Inc.",1.47,11927950.44,n/a,2011,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,http://www.nasdaq.com/symbol/elmd,,AMEX
ETAK,Elephant Talk Communications Corp.,1.14,159624422.2,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/etak,,AMEX
ELLO,Ellomay Capital Ltd.,9.87,105533701.8,n/a,n/a,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/ello,,AMEX
ECF,"Ellsworth Convertible Growth and Income Fund, Inc.",8.43,113105293.1,n/a,1986,n/a,n/a,http://www.nasdaq.com/symbol/ecf,,AMEX
EMAN,eMagin Corporation,2.42,57907257.98,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/eman,,AMEX
EOX,"Emerald Oil, Inc.",6.71,444762043.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/eox,,AMEX
MSN,Emerson Radio Corporation,2.11,57243945.52,n/a,n/a,Consumer Non-Durables,Consumer Electronics/Appliances,http://www.nasdaq.com/symbol/msn,,AMEX
UUUU,Energy Fuels Inc,9.45,185429506.5,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/uuuu,,AMEX
ENSV,ENSERVCO Corporation,2.43,87977350.53,n/a,n/a,Energy,Oilfield Services/Equipment,http://www.nasdaq.com/symbol/ensv,,AMEX
EGI,Entree Gold Inc,0.365,53558050.53,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/egi,,AMEX
EVI,"EnviroStarm, Inc.",3.28,23070640.96,n/a,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/evi,,AMEX
ERB,"ERBA Diagnostics, Inc.",2.36,103033401.6,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/erb,,AMEX
ESP,Espey Mfg. & Electronics Corp.,27.45,64666984.5,n/a,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/esp,,AMEX
ETUB,eUnits 2 Year U.S. Market Participation Trust,11.88,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/etub,,AMEX
EMXX,Eurasian Minerals Inc.,1.06,77409901.54,n/a,n/a,Basic Industries,Precious Metals,http://www.nasdaq.com/symbol/emxx,,AMEX
EVBN,"Evans Bancorp, Inc.",22.75,95700855.25,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/evbn,,AMEX
EVK,"Ever-Glory International Group, Inc.",7.62,112633056.4,n/a,n/a,Consumer Non-Durables,Apparel,http://www.nasdaq.com/symbol/evk,,AMEX
EPM,"Evolution Petroleum Corporation, Inc.",12.6,408176987.4,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/epm,,AMEX
EPM^A,"Evolution Petroleum Corporation, Inc.",25.6699,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/epm^a,,AMEX
XRA,Exeter Resource Corporation,0.65,57465039.45,n/a,n/a,Basic Industries,Mining & Quarrying of Nonmetallic Minerals (No Fuels),http://www.nasdaq.com/symbol/xra,,AMEX
FU,FAB Universal Corp.,3.07,63873990.2,n/a,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/fu,,AMEX
FCSC,Fibrocell Science Inc,5.32,217256111.8,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fcsc,,AMEX
FPP,FieldPoint Petroleum Corporation,4.63,37347135.68,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/fpp,,AMEX
FPP/WS,FieldPoint Petroleum Corporation,0.95,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fpp/ws,,AMEX
MXN,"First American Minnesota Municipal Income Fund II, Inc.",14.06,20703434.36,n/a,2002,n/a,n/a,http://www.nasdaq.com/symbol/mxn,,AMEX
FEN,First Trust Energy Income and Growth Fund,32.64,631754185,n/a,2004,n/a,n/a,http://www.nasdaq.com/symbol/fen,,AMEX
FWV,"First West Virginia Bancorp, Inc.",20.013,34597073.49,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fwv,,AMEX
BDL,"Flanigan&#39;s Enterprises, Inc.",14.78,27470802.66,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/bdl,,AMEX
FSI,Flexible Solutions International Inc.,0.75,9877493.25,n/a,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/fsi,,AMEX
FSP,Franklin Street Properties Corp.,12.4,1242323822,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/fsp,,AMEX
FTF,Franklin Templeton Limited Duration Income Trust,13.06,350473589,n/a,2003,n/a,n/a,http://www.nasdaq.com/symbol/ftf,,AMEX
FRD,Friedman Industries Inc.,8.59,58407223.96,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/frd,,AMEX
FRS,"Frisch&#39;s Restaurants, Inc.",23.41,119211796.5,n/a,n/a,Consumer Services,Restaurants,http://www.nasdaq.com/symbol/frs,,AMEX
GGN,"GAMCO Global Gold, Natural Reources & Income Trust ",9.92,1055789766,n/a,2005,n/a,n/a,http://www.nasdaq.com/symbol/ggn,,AMEX
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust ",21.3,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ggn^b,,AMEX
EGAS,Gas Natural Inc.,9.99,104412263.2,n/a,n/a,Public Utilities,Oil/Gas Transmission,http://www.nasdaq.com/symbol/egas,,AMEX
GST,Gastar Exploration Inc.,5.12,316875033.6,n/a,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/gst,,AMEX
GST^A,Gastar Exploration Inc.,24.71,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^a,,AMEX
GST^B,Gastar Exploration Inc.,26.1001,0,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/gst^b,,AMEX
JOB,"General Employment Enterprises, Inc.",0.2331,5314604.243,n/a,n/a,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/job,,AMEX
